timestamp,container,cpu_usage,mem_usage,net_io,block_io,pids
2025-02-14 18:00:01,thread-router,0.03%,0B / 0B,5.59kB / 27.4kB,0B / 0B,10
2025-02-14 18:00:01,edge-edge-1,0.66%,0B / 0B,43.6kB / 10.5kB,0B / 0B,3
2025-02-14 18:00:01,edge-watchtower-1,0.00%,0B / 0B,32.2kB / 892B,0B / 0B,8
2025-02-14 18:00:09,pathfinder,254.40%,0B / 0B,0B / 0B,0B / 0B,20
2025-02-14 18:00:09,edge-thread-router-init-1,0.00%,0B / 0B,31.3kB / 892B,0B / 0B,1
2025-02-14 18:00:09,thread-router,0.04%,0B / 0B,5.59kB / 27.4kB,0B / 0B,10
2025-02-14 18:00:09,edge-edge-1,0.16%,0B / 0B,43.7kB / 10.6kB,0B / 0B,13
2025-02-14 18:00:09,edge-watchtower-1,0.00%,0B / 0B,32.2kB / 892B,0B / 0B,8
2025-02-14 18:00:16,edge-thread-router-init-1,0.00%,0B / 0B,31.3kB / 892B,0B / 0B,1
2025-02-14 18:00:16,thread-router,0.02%,0B / 0B,5.59kB / 27.4kB,0B / 0B,10
2025-02-14 18:00:16,edge-edge-1,0.02%,0B / 0B,44kB / 10.9kB,0B / 0B,3
2025-02-14 18:00:16,edge-watchtower-1,0.00%,0B / 0B,32.2kB / 892B,0B / 0B,8
2025-02-14 18:00:23,edge-thread-router-init-1,0.00%,0B / 0B,31.3kB / 892B,0B / 0B,1
2025-02-14 18:00:23,thread-router,0.04%,0B / 0B,5.59kB / 27.4kB,0B / 0B,10
2025-02-14 18:00:23,edge-edge-1,0.22%,0B / 0B,44.2kB / 11.1kB,0B / 0B,3
2025-02-14 18:00:23,edge-watchtower-1,0.00%,0B / 0B,32.2kB / 892B,0B / 0B,8
2025-02-14 18:00:31,edge-thread-router-init-1,0.00%,0B / 0B,31.3kB / 892B,0B / 0B,1
2025-02-14 18:00:31,thread-router,0.05%,0B / 0B,5.59kB / 27.4kB,0B / 0B,10
2025-02-14 18:00:31,edge-edge-1,0.12%,0B / 0B,44.3kB / 11.2kB,0B / 0B,12
2025-02-14 18:00:31,edge-watchtower-1,0.00%,0B / 0B,32.2kB / 892B,0B / 0B,8
2025-02-14 18:00:31,pathfinder,276.93%,0B / 0B,0B / 0B,0B / 0B,20
2025-02-14 18:00:39,edge-thread-router-init-1,0.00%,0B / 0B,31.3kB / 892B,0B / 0B,1
2025-02-14 18:00:39,thread-router,0.29%,0B / 0B,5.59kB / 27.4kB,0B / 0B,10
2025-02-14 18:00:39,edge-edge-1,0.02%,0B / 0B,44.4kB / 11.3kB,0B / 0B,3
2025-02-14 18:00:39,edge-watchtower-1,0.00%,0B / 0B,32.2kB / 892B,0B / 0B,8
2025-02-14 18:00:47,edge-thread-router-init-1,0.00%,0B / 0B,31.3kB / 892B,0B / 0B,1
2025-02-14 18:00:47,thread-router,0.06%,0B / 0B,5.59kB / 27.4kB,0B / 0B,10
2025-02-14 18:00:47,edge-edge-1,0.17%,0B / 0B,44.6kB / 11.5kB,0B / 0B,14
2025-02-14 18:00:47,edge-watchtower-1,0.00%,0B / 0B,32.2kB / 892B,0B / 0B,8
2025-02-14 18:00:47,pathfinder,209.64%,0B / 0B,0B / 0B,0B / 0B,20
2025-02-14 18:00:54,edge-thread-router-init-1,0.00%,0B / 0B,31.4kB / 892B,0B / 0B,1
2025-02-14 18:00:54,thread-router,0.04%,0B / 0B,5.59kB / 27.5kB,0B / 0B,10
2025-02-14 18:00:54,edge-edge-1,0.02%,0B / 0B,44.8kB / 11.5kB,0B / 0B,3
2025-02-14 18:00:54,edge-watchtower-1,0.00%,0B / 0B,32.3kB / 892B,0B / 0B,8
2025-02-14 18:01:02,edge-thread-router-init-1,0.00%,0B / 0B,31.4kB / 892B,0B / 0B,1
2025-02-14 18:01:02,thread-router,0.53%,0B / 0B,5.59kB / 27.5kB,0B / 0B,10
2025-02-14 18:01:02,edge-edge-1,0.06%,0B / 0B,44.9kB / 11.7kB,0B / 0B,3
2025-02-14 18:01:02,edge-watchtower-1,0.00%,0B / 0B,32.3kB / 892B,0B / 0B,8
2025-02-14 18:01:10,pathfinder,300.06%,0B / 0B,0B / 0B,0B / 0B,22
2025-02-14 18:01:10,edge-thread-router-init-1,0.00%,0B / 0B,31.4kB / 892B,0B / 0B,1
2025-02-14 18:01:10,thread-router,0.06%,0B / 0B,5.59kB / 27.5kB,0B / 0B,10
2025-02-14 18:01:10,edge-edge-1,0.28%,0B / 0B,45kB / 11.8kB,0B / 0B,12
2025-02-14 18:01:10,edge-watchtower-1,0.00%,0B / 0B,32.3kB / 892B,0B / 0B,8
2025-02-14 18:01:17,edge-thread-router-init-1,0.00%,0B / 0B,31.4kB / 892B,0B / 0B,1
2025-02-14 18:01:17,thread-router,0.16%,0B / 0B,5.59kB / 27.5kB,0B / 0B,10
2025-02-14 18:01:17,edge-edge-1,0.08%,0B / 0B,45.1kB / 11.9kB,0B / 0B,13
2025-02-14 18:01:17,edge-watchtower-1,0.00%,0B / 0B,32.3kB / 892B,0B / 0B,8
2025-02-14 18:01:17,pathfinder,241.96%,0B / 0B,0B / 0B,0B / 0B,20
2025-02-14 18:01:25,edge-thread-router-init-1,0.00%,0B / 0B,31.4kB / 892B,0B / 0B,1
2025-02-14 18:01:25,thread-router,0.03%,0B / 0B,5.59kB / 27.5kB,0B / 0B,10
2025-02-14 18:01:25,edge-edge-1,0.03%,0B / 0B,45.2kB / 12kB,0B / 0B,3
2025-02-14 18:01:25,edge-watchtower-1,0.00%,0B / 0B,32.3kB / 892B,0B / 0B,8
2025-02-14 18:01:32,edge-thread-router-init-1,0.00%,0B / 0B,31.4kB / 892B,0B / 0B,1
2025-02-14 18:01:32,thread-router,0.02%,0B / 0B,5.59kB / 27.5kB,0B / 0B,10
2025-02-14 18:01:32,edge-edge-1,0.51%,0B / 0B,45.5kB / 12.3kB,0B / 0B,3
2025-02-14 18:01:32,edge-watchtower-1,0.00%,0B / 0B,32.3kB / 892B,0B / 0B,8
2025-02-14 18:01:40,edge-thread-router-init-1,0.00%,0B / 0B,31.4kB / 892B,0B / 0B,1
2025-02-14 18:01:40,thread-router,0.02%,0B / 0B,5.59kB / 27.5kB,0B / 0B,10
2025-02-14 18:01:40,edge-edge-1,0.16%,0B / 0B,45.8kB / 12.6kB,0B / 0B,3
2025-02-14 18:01:40,edge-watchtower-1,0.00%,0B / 0B,32.3kB / 892B,0B / 0B,8
2025-02-14 18:01:48,pathfinder,257.55%,0B / 0B,0B / 0B,0B / 0B,23
2025-02-14 18:01:48,edge-thread-router-init-1,0.00%,0B / 0B,31.4kB / 892B,0B / 0B,1
2025-02-14 18:01:48,thread-router,0.49%,0B / 0B,5.59kB / 27.5kB,0B / 0B,10
2025-02-14 18:01:48,edge-edge-1,0.25%,0B / 0B,46kB / 12.8kB,0B / 0B,13
2025-02-14 18:01:48,edge-watchtower-1,0.00%,0B / 0B,32.3kB / 892B,0B / 0B,8
2025-02-14 18:01:56,edge-thread-router-init-1,0.00%,0B / 0B,31.4kB / 892B,0B / 0B,1
2025-02-14 18:01:56,thread-router,0.02%,0B / 0B,5.59kB / 27.5kB,0B / 0B,10
2025-02-14 18:01:56,edge-edge-1,0.15%,0B / 0B,46.2kB / 13kB,0B / 0B,3
2025-02-14 18:01:56,edge-watchtower-1,0.00%,0B / 0B,32.3kB / 892B,0B / 0B,8
2025-02-14 18:02:03,pathfinder,292.18%,0B / 0B,0B / 0B,0B / 0B,22
2025-02-14 18:02:03,edge-thread-router-init-1,0.00%,0B / 0B,31.4kB / 892B,0B / 0B,1
2025-02-14 18:02:03,thread-router,0.45%,0B / 0B,5.59kB / 27.5kB,0B / 0B,10
2025-02-14 18:02:03,edge-edge-1,0.12%,0B / 0B,46.3kB / 13.1kB,0B / 0B,13
2025-02-14 18:02:03,edge-watchtower-1,0.00%,0B / 0B,32.3kB / 892B,0B / 0B,8
2025-02-14 18:02:11,edge-thread-router-init-1,0.00%,0B / 0B,31.4kB / 892B,0B / 0B,1
2025-02-14 18:02:11,thread-router,0.04%,0B / 0B,5.59kB / 27.5kB,0B / 0B,10
2025-02-14 18:02:11,edge-edge-1,0.05%,0B / 0B,46.5kB / 13.3kB,0B / 0B,3
2025-02-14 18:02:11,edge-watchtower-1,0.00%,0B / 0B,32.3kB / 892B,0B / 0B,8
2025-02-14 18:02:18,edge-thread-router-init-1,0.00%,0B / 0B,31.4kB / 892B,0B / 0B,1
2025-02-14 18:02:18,thread-router,0.05%,0B / 0B,5.59kB / 27.5kB,0B / 0B,10
2025-02-14 18:02:18,edge-edge-1,0.69%,0B / 0B,46.6kB / 13.4kB,0B / 0B,3
2025-02-14 18:02:18,edge-watchtower-1,0.00%,0B / 0B,32.3kB / 892B,0B / 0B,8
2025-02-14 18:02:26,edge-thread-router-init-1,0.00%,0B / 0B,31.4kB / 892B,0B / 0B,1
2025-02-14 18:02:26,thread-router,0.03%,0B / 0B,5.59kB / 27.5kB,0B / 0B,10
2025-02-14 18:02:26,edge-edge-1,0.14%,0B / 0B,46.8kB / 13.6kB,0B / 0B,3
2025-02-14 18:02:26,edge-watchtower-1,7.75%,0B / 0B,32.3kB / 892B,0B / 0B,8
2025-02-14 18:02:34,pathfinder,236.34%,0B / 0B,0B / 0B,0B / 0B,23
2025-02-14 18:02:34,edge-thread-router-init-1,0.00%,0B / 0B,31.4kB / 892B,0B / 0B,1
2025-02-14 18:02:34,thread-router,0.05%,0B / 0B,5.59kB / 27.5kB,0B / 0B,10
2025-02-14 18:02:34,edge-edge-1,0.09%,0B / 0B,46.9kB / 13.7kB,0B / 0B,13
2025-02-14 18:02:34,edge-watchtower-1,0.00%,0B / 0B,32.3kB / 892B,0B / 0B,8
2025-02-14 18:02:41,edge-thread-router-init-1,0.00%,0B / 0B,31.4kB / 892B,0B / 0B,1
2025-02-14 18:02:41,thread-router,0.04%,0B / 0B,5.59kB / 27.5kB,0B / 0B,10
2025-02-14 18:02:41,edge-edge-1,0.04%,0B / 0B,47.1kB / 13.9kB,0B / 0B,3
2025-02-14 18:02:41,edge-watchtower-1,0.00%,0B / 0B,32.3kB / 892B,0B / 0B,8
2025-02-14 18:02:49,pathfinder,300.99%,0B / 0B,0B / 0B,0B / 0B,23
2025-02-14 18:02:49,edge-thread-router-init-1,0.00%,0B / 0B,31.4kB / 892B,0B / 0B,1
2025-02-14 18:02:49,thread-router,0.44%,0B / 0B,5.59kB / 27.5kB,0B / 0B,10
2025-02-14 18:02:49,edge-edge-1,0.25%,0B / 0B,47.3kB / 14.1kB,0B / 0B,13
2025-02-14 18:02:49,edge-watchtower-1,0.00%,0B / 0B,32.3kB / 892B,0B / 0B,8
2025-02-14 18:02:56,edge-thread-router-init-1,0.00%,0B / 0B,31.5kB / 892B,0B / 0B,1
2025-02-14 18:02:56,thread-router,0.04%,0B / 0B,5.59kB / 27.6kB,0B / 0B,10
2025-02-14 18:02:56,edge-edge-1,0.05%,0B / 0B,47.7kB / 14.3kB,0B / 0B,3
2025-02-14 18:02:56,edge-watchtower-1,4.87%,0B / 0B,32.4kB / 892B,0B / 0B,8
2025-02-14 18:03:04,edge-thread-router-init-1,0.00%,0B / 0B,31.5kB / 892B,0B / 0B,1
2025-02-14 18:03:04,thread-router,0.04%,0B / 0B,5.59kB / 27.6kB,0B / 0B,10
